gene_symbol,Module_1,Module_2,Module_3
RFC2,1.191790917309608,0.795158767517926,1.3767958490769192
HSPA6,4.536755870027783,1.112851304578099,2.8226154451739123
PAX8,21.35600727694967,4.326734029146566,19.95616159840228
GUCA1A,0.8449623058477514,0.41052950694679924,0.27940976991011357
THRA,3.1037066690148216,0.7467571239448071,2.166367804369465
PTPN21,1.3266134048887748,1.0143659014988218,1.5406671449025997
CCL5,1.4440001008644237,2.1729629399856,2.2913838709385796
CYP2E1,1.248638420979223,0.5971201667877384,0.43933125851079485
EPHB3,0.8067110403877472,0.977940284672543,1.0163619410892681
ESRRA,6.324763284961011,1.9084845493146143,4.315690140705464
CYP2A6,7.4289726097096676,1.7459287904945353,3.4618390711973506
GAS6,40.16090032831267,17.786982568733993,38.024296817563325
MMP14,9.128936304217492,3.046271651020214,8.274468077049379
TRADD,5.77269572271403,1.7869706249202615,5.986782874365358
PLD1,0.7519752434986066,1.2794854457536433,1.5861382305281677
DTX2P1-UPK3BP1-PMS2P11,32.56851585802084,9.592028391962598,29.248808050959845
BAD,2.4834885629828576,1.3802469733670222,2.5190290805405624
PRPF8,13.395971637160322,6.179377519122782,14.866570556216763
CAPNS1,53.25327245331379,14.813519331937332,60.102793408121116
RPL35,66.63107461986272,45.89627118469222,72.86240197691541
EIF4G2,86.3656851795792,31.578793607282503,68.08649318236216
EIF3D,14.761491841160153,15.692335940773086,22.249059188712536
PARK7,61.98809851423022,31.552442960381207,79.07444635681475
SRP14,52.38920709387257,33.271855069523966,52.411657905554385
GDI2,20.318264064682985,15.483156638851433,18.32617544162547
RPL11,113.45893296855857,50.67141967402147,109.0392094408606
ARF3,24.133166437123077,6.15011063526888,21.494983403261873
RPL24,70.30703965179539,54.4855914089101,66.44462422687093
HNRNPC,21.561053562406173,9.86717578578635,13.048981035400727
SEPT2,40.14008274287678,20.31697559770896,49.48927885700256
RPS27A,97.18704781996236,68.83664653534122,110.50910618416266
FAU,69.00256400373227,48.91459898840134,70.82553658719435
TARDBP,19.15109005572822,9.34653385403122,15.045949057071635
CFL1,186.8230890895198,55.85886582295086,104.75768761669671
RPL18,77.29492149668323,62.348811245853554,57.6956920504703
EIF3F,29.578295586260683,21.63885047283655,33.44653294252607
RPS5,71.13969658904462,54.82407339826909,73.17174390596807
RPL27,121.85718475178706,64.30584578444727,115.95541984992501
RPL34,115.8903450356774,85.92171256842808,131.33523270403543
NARS,21.358678808049373,12.115757184835136,30.692306342031127
STARD7,35.29605949753039,9.384265155165398,36.559933479834235
RPL19,90.89061399974184,57.500312428941946,88.99794117997493
SLC25A3,93.48204923858673,28.330810729619316,80.00562006758794
RPL9,186.71252372979876,87.20220470236005,157.52482099895985
RPL6,75.39536376495214,51.77992386195597,77.48186238883491
CTDNEP1,5.923879492716798,2.789904104328963,8.47294118678373
RPL10A,54.72041598060204,48.381556183095505,53.20606565273209
CBX3,15.641644820890056,13.108414478166976,18.222143247627407
PSMB2,17.74406508512474,6.733998097434054,15.076772133764626
KHDRBS1,20.429534049940944,9.75864420489746,27.40081565382036
RTCB,9.278598488679272,7.249938972424736,8.47682512207153
ERH,30.859167363121227,19.727419154068695,45.06179666957581
ABCF1,22.116788615227946,4.380985017695714,9.663567347253508
DAD1,26.521431518379785,15.363433693203842,31.895200957341984
YY1,18.691441540552457,9.31197915319298,21.79738370448052
JTB,36.83128312159869,14.69136180861583,28.39400677782224
KAT7,7.4890886789149205,2.9218748267045647,9.439615989975268
ZNF146,6.716269965742801,4.901403233486761,7.382836950047806
SART1,3.6717225317296527,1.3955570664702925,3.5667184902825526
ILF2,17.53958042255689,6.155456822887831,8.410771718221843
SPAG7,13.205993550284239,4.957996737652269,10.14986858943058
ZPR1,6.75863372799187,0.8848028797267116,3.2033750749546885
TAF10,23.733439234540107,4.261346237514849,22.082172191426704
C1D,4.195167382534846,2.691547531060596,5.802038381906574
NONO,47.59718251742871,21.490333683269174,43.27537784521983
RHOA,114.87875109649463,35.254133248912204,100.40332755256459
RNPS1,33.584469287739985,9.129187063659726,28.21524138121101
RPS24,139.20836149445964,78.02417646455783,123.88519808239717
RPL30,143.43715903475783,86.70736643169263,152.10838729253555
NPM1,79.13513230719619,39.427914262359145,72.05480938803751
HSP90AB1,106.97722207588247,28.4045718797021,83.39355273659335
IK,8.679564766912772,4.844618236346595,11.414290783722672
SNX3,35.47464793143139,11.17998248874346,45.20686719119749
CANX,60.30418723200314,18.693484766575008,63.828418843532496
SART3,3.8598980117939496,2.0185378621466303,4.199018880530629
CNPPD1,3.7301274230183195,2.3050366215358613,7.301259089180409
SMNDC1,13.349615091200974,3.7008118921830455,11.244789936978503
HNRNPM,27.131077138276286,8.993845808663805,9.474609332284494
HNRNPD,17.057531972796806,9.949562893825117,15.23073521923928
RPL14,41.423450726899624,33.273368265583706,44.51132040882436
GUK1,12.462304296192377,7.824050784037363,13.612998885425037
KXD1,6.828000079342641,3.727711208912696,6.388248712777111
OAZ1,101.14711115157014,38.00757419838572,88.3097981386954
ATP6V0B,16.948938182050398,8.543052473192322,10.58857783318433
KARS,17.964703153359515,10.304069069326,21.526357206093675
