Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Adipogenesis,0.4396871643988751,2.169627323829136,0.01,0.01,0.01,64/170,19.89%,ACOX1;SSPN;TST;ME1;ESYT1;SCARB1;RREB1;SCP2;RTN3;UQCR10;TOB1;CD36;CD151;UQCRQ;LEP;ITIH5;CMPK1;NDUFAB1;TANK;SULT1A1;ANGPT1;REEP5;PRDX3;MCCC1;PPARG;ITSN1;CRAT;NMT1;SLC25A1;PTGER3;LIFR;COX7B;PPM1B;ABCA1;DLD;LPCAT3;DHRS7B;HIBCH;GHITM;RETSAT;SORBS1;FAH;SOD1;COQ9;GPX4;CAT;PEX14;SAMM50;ALDH2;OMD;IDH1;FZD4;LPL;BCL2L13;CPT2;MAP4K3;UQCR11;COL15A1;TKT;PFKL;MDH2;ETFB;IFNGR1;RMDN3
prerank,Oxidative Phosphorylation,0.3813383188313682,1.9611817918996528,0.01,0.01,0.01,88/180,26.41%,COX7A2L;UQCR10;PDP1;MDH1;ATP6V0E1;UQCRQ;SLC25A11;NDUFAB1;SURF1;UQCRB;ATP6V1H;CYB5R3;VDAC3;PRDX3;ATP6V1E1;ATP6V1C1;LDHB;OXA1L;ATP6V1D;RHOT1;CPT1A;ISCA1;SDHA;ISCU;SLC25A20;ACAA1;NDUFS6;COX7B;NDUFB3;DLD;ATP1B1;COX10;NDUFB1;MPC1;MRPS15;RETSAT;NDUFS1;MRPL34;TOMM70;NDUFB6;COX6B1;LRPPRC;GPX4;ALDH6A1;COX4I1;IDH1;NDUFA6;HCCS;COX5B;GPI;HSD17B10;COX7A2;UQCR11;NDUFB2;ATP6V0C;SLC25A12;ACAT1;ETFA;TCIRG1;COX7C;COX11;MDH2;ETFB;SUCLA2;PDHX;TIMM10;PDHB;ETFDH;NDUFS3;VDAC2;MTX2;OPA1;SDHC;IDH3G;NDUFB8;UQCRFS1;MGST3;NDUFC1;COX6A1;PDHA1;ACO2;ECH1;NDUFA7;NNT;HADHB;OGDH;COX15;ACADSB
prerank,Inflammatory Response,-0.39156244334180146,-1.8076766658981551,0.01,0.01,0.01,76/194,24.88%,PSEN1;SLC11A2;MET;CSF1;CXCL9;BEST1;ADORA2B;CD40;ATP2A2;SLC7A2;ACVR1B;MMP14;PCDH7;CCL24;ITGB3;LIF;OSMR;EDN1;GNAI3;ADGRE1;GNA15;IL1R1;PVR;INHBA;SLAMF1;HRH1;BDKRB1;SPHK1;ICOSLG;NOD2;TNFAIP6;ITGB8;SLC7A1;LPAR1;CCL2;CXCL10;HBEGF;MEP1A;ICAM1;PTGER4;CCL7;CHST2;RIPK2;TACR1;GCH1;NFKB1;PDPN;FZD5;OLR1;KCNA3;LDLR;PLAUR;IL4R;PDE4B;CD14;IL1B;TNFRSF9;OSM;HAS2;SELE;TLR2;CXCL6;ADM;IL12B;SLC31A1;SERPINE1;P2RY2;SLC1A2;NLRP3;CALCRL;RELA;CCR7;LTA;CXCL8;ACVR2A;EREG
prerank,Epithelial Mesenchymal Transition,-0.37917228183038487,-1.7928221189114222,0.01,0.01,0.02,85/190,26.25%,ACTA2;NOTCH2;MATN3;CD44;COPA;CADM1;PTHLH;LRRC15;CD59;CDH6;DST;CDH2;TPM4;SDC1;FBN2;TNC;MMP14;OXTR;VCAN;LAMC2;EDIL3;DKK1;TPM1;WIPF1;ITGB3;PDLIM4;THBS1;ADAM12;RGS4;TGM2;IGFBP3;PVR;VCAM1;THBS2;CALU;P3H1;FN1;GADD45A;GEM;INHBA;LOXL2;LAMA2;COL1A1;MYLK;TNFRSF12A;TPM2;PRRX1;CXCL12;GPC1;BGN;CXCL1;LOX;PTX3;CALD1;GADD45B;SDC4;SNTB1;ITGA2;SGCD;SFRP4;VEGFA;GJA1;PLAUR;ITGB1;LAMA1;FBLN1;FAS;DCN;DPYSL3;MMP1;SLC6A8;COL3A1;CXCL6;SERPINE1;PRSS2;SPOCK1;ID2;FGF2;CXCL8;COL5A1;COL7A1;MMP2;SERPINE2;FAP;ECM1
prerank,Fatty Acid Metabolism,0.32382603560848217,1.5412554005910657,0.01,0.01,0.02,54/144,23.00%,ACOX1;ME1;NBN;NTHL1;ALDH3A2;EHHADH;ALDH9A1;CD36;MDH1;HSDL2;EPHX1;HSP90AA1;AUH;SLC22A5;GRHPR;CRAT;CPT1A;PTPRG;CRYZ;SDHA;ACAA1;SUCLG2;PRDX6;DLD;CBR3;UROS;HIBCH;RETSAT;MAOA;PPARA;SERINC1;GAD2;S100A10;GABARAPL1;IDH1;HCCS;ACSL5;UROD;HSD17B10;CPT2;MDH2;SUCLA2;CPOX;ELOVL5;PDHB;MGLL;ETFDH;ECI2;CYP1A1;HSD17B11;HADH;SDHC;ACSL1;IDH3G
prerank,Protein Secretion,0.3466336637908639,1.5938715575265758,0.01,0.01,0.01,38/94,18.29%,SCRN1;SSPN;CLCN3;VPS4B;YIPF6;RAB2A;VAMP3;RAB14;RAB9A;ATP6V1H;VAMP7;STX7;CAV2;AP3S1;TPD52;SCAMP1;TOM1L1;BET1;COPB1;AP3B1;ABCA1;USO1;ADAM10;ARFGEF1;SOD1;VAMP4;SGMS1;SNAP23;KIF1B;TMED2;RER1;BNIP3;AP2S1;TMED10;PPT1;CTSC;COPE;PAM
prerank,IL-6/JAK/STAT3 Signaling,-0.40262570634094574,-1.6721852335652014,0.01,0.011353647817169646,0.05,49/86,36.58%,IL13RA1;CD44;CRLF2;STAT1;PTPN11;CSF1;CXCL9;LTB;ACVR1B;ITGB3;OSMR;SOCS1;IL1R1;IL2RA;TNFRSF12A;CXCL10;CXCL3;CXCL1;CCL7;LTBR;STAT3;DNTT;CCR1;ITGA4;IL4R;STAT2;CD14;IL1B;PTPN2;FAS;TLR2;MAP3K8;MYD88;IL2RG;REG1A;TNF;IFNGR2;PF4;CSF2;STAM2;PTPN1;PIM1;CXCL13;IL6;IL7;IL3RA;IRF1;TGFB1;PIK3R5
prerank,TNF-alpha Signaling via NF-kB,-0.36122248290523223,-1.682691208529944,0.01,0.015138197089559527,0.05,96/194,31.15%,CFLAR;CD44;CSF1;TNC;SPSB1;LIF;EDN1;TNIP2;NFKB2;HES1;SERPINB2;DUSP4;GADD45A;GEM;INHBA;NFKBIE;SPHK1;RCAN1;ICOSLG;PANX1;PLAU;TNFAIP6;CCL2;JAG1;REL;CXCL10;HBEGF;SNN;PHLDA2;SERPINB8;FOSL1;ICAM1;PTGER4;CXCL3;CXCL1;IER3;TGIF1;GFPT2;PTX3;GADD45B;SDC4;F2RL1;RIPK2;NR4A3;EHD1;PLEK;FOSL2;GCH1;NFKB1;OLR1;RELB;PLK2;VEGFA;LDLR;PLAUR;BTG3;FJX1;PDE4B;EIF1;KDM6B;RNF19B;BIRC3;IL1B;TSC22D1;NINJ1;TNFRSF9;DRAM1;MCL1;CXCL2;TLR2;CXCL6;IL12B;SERPINE1;PTGS2;PHLDA1;RELA;CD83;NR4A2;ID2;DUSP2;SLC2A6;MAP3K8;TNF;DUSP5;NAMPT;KYNU;IFNGR2;ETS2;LAMB3;KLF10;TNFAIP3;CSF2;TRIP10;PDLIM5;NFIL3;B4GALT5
prerank,UV Response Dn,0.32302703422810913,1.5019572848758722,0.01,0.01915563957151859,0.08,31/136,9.34%,NR1D2;CELF2;VLDLR;TGFBR3;SMAD3;ATRX;NIPBL;CDK13;NEK7;FYN;ATP2C1;BMPR1A;CAV1;TJP1;NFIB;MRPS31;PTPN21;CAP2;CDC42BPA;MAP1B;PHF3;EFEMP1;APBB2;PPARG;SPOP;IGF1R;PMP22;ATP2B4;GRK5;CITED2;RXRA
prerank,Reactive Oxygen Species Pathway,0.35456712541860486,1.3839332026488116,0.058823529411764705,0.06983826927116153,0.29,16/44,18.93%,NQO1;MSRA;LAMTOR5;FTL;PRDX2;PRDX6;SOD1;ABCC1;GPX4;CAT;NDUFA6;MPO;TXNRD1;OXSR1;TXN;STK25
