0,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,GeneSymbol
ENSG00000223972.5,0.0,,,,,,DDX11L1
ENSG00000227232.5,35.80170298866165,-0.46882054729598477,0.2535358396589154,-1.8491292904651833,0.06443914585064764,0.7932488083384331,WASH7P
ENSG00000278267.1,6.057064765074342,-0.7982384000765232,0.6931057635050495,-1.1516833968308329,0.24945119736961507,0.9993479782630744,MIR6859-1
ENSG00000243485.5,0.0,,,,,,MIR1302-2HG
ENSG00000284332.1,0.0,,,,,,MIR1302-2
ENSG00000237613.2,0.0,,,,,,FAM138A
ENSG00000268020.3,0.0,,,,,,OR4G4P
ENSG00000240361.2,0.0,,,,,,OR4G11P
ENSG00000186092.6,0.0,,,,,,OR4F5
ENSG00000238009.6,3.381828197615912,-2.0865217284319693,1.4904160547815994,-1.3999592407354478,0.1615255243785534,,
ENSG00000239945.1,0.0,,,,,,
ENSG00000233750.3,0.0,,,,,,CICP27
ENSG00000268903.1,21.91725376641435,-1.0530146319330036,0.4427716793129914,-2.3782339321405352,0.01739578597930753,0.5067975090251852,
ENSG00000269981.1,23.2082524104418,-0.7481156958890354,0.44400524159139815,-1.6849253698169153,0.09200297115310052,0.8699940798788249,
ENSG00000239906.1,0.5184452760841128,1.7023358549155652,1.931733281424862,0.8812478778953938,0.37818367044123746,,
ENSG00000241860.7,4.02672904634398,0.816980936190771,1.5280533272278274,0.5346547280996575,0.5928886320523095,,
ENSG00000222623.1,0.0,,,,,,LOC124906683
ENSG00000241599.1,0.0,,,,,,
ENSG00000279928.2,0.0,,,,,,DDX11L17
ENSG00000279457.4,90.26633825737193,0.34969169024135216,0.2626049666070644,1.3316263388292864,0.18298300545188884,0.9993479782630744,WASH9P
ENSG00000273874.1,0.0,,,,,,MIR6859-2
ENSG00000228463.10,6.87937247426158,2.6818646992235173,1.3499213509728871,1.9866821850700411,0.046957627238182635,0.7249385992482262,RPL23AP21
ENSG00000286448.1,0.11742940723106514,0.9203708944145211,3.8737400330969165,0.2375923233234414,0.8121973051461402,,
ENSG00000236679.2,0.09781576236124025,0.9203708944145204,3.8737400330969165,0.23759232332344118,0.8121973051461404,,RPL23AP24
ENSG00000236601.2,0.0,,,,,,
ENSG00000237094.12,30.80830276183528,0.29305456910818845,0.7064978976254042,0.41479892593193585,0.6782891059198256,0.9993479782630744,
ENSG00000269732.1,0.0,,,,,,WBP1LP7
ENSG00000284733.1,0.0,,,,,,OR4F29
ENSG00000233653.3,0.0,,,,,,CICP7
ENSG00000250575.1,0.20892087074102417,1.5795436448283862,2.626280850754831,0.6014374450373053,0.5475486647224777,,
ENSG00000278757.1,0.0,,,,,,LOC124904706
ENSG00000230021.10,6.0172184680487195,-0.7722767807975153,0.6445442440514209,-1.1981749708029417,0.2308489071941653,0.9993479782630744,
ENSG00000235146.2,0.0,,,,,,
ENSG00000225972.1,28.91166468043161,0.440834233304454,0.4456446856328496,0.9892056329100741,0.3225625429973681,0.9993479782630744,MTND1P23
ENSG00000225630.1,600.1893589722445,0.6857311451931547,0.4623207394837155,1.4832368237663898,0.1380115007914724,0.9520551584632739,MTND2P28
ENSG00000237973.1,705.6609273340104,0.21378943981101045,0.31754715799903244,0.6732525687150438,0.5007866225403632,0.9993479782630744,MTCO1P12
ENSG00000278791.1,0.0,,,,,,
ENSG00000229344.1,198.86820760305093,3.7928939554233776,1.2949600905669698,2.928965906403141,,,MTCO2P12
